number,sharpe_ratio,calmar_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_middlelines,params_bb_multiply,params_bb_timeperiod,params_channel_middlelines,params_channel_multiply,params_channel_timeperiod,params_fastk_period,params_lower_KDJ,params_slowd_matype,params_slowd_period,params_slowk_matype,params_slowk_period,params_upper_KDJ,system_attrs_nsga2:generation,state
52,-0.5226950626400808,-0.1606191447731515,-0.12145795573983492,2023-11-29 20:39:08.046223,2023-11-29 20:39:08.303769,0 days 00:00:00.257546,0,1.4035437334525458,45,SMA,1.9154419591469887,14,8,23,1,5,2,4,82,0,COMPLETE
53,0.5322755754489276,0.28957586815880426,0.8027447148051456,2023-11-29 20:39:08.304793,2023-11-29 20:39:08.568693,0 days 00:00:00.263900,0,1.0915083230429206,59,EMA,2.8444663661310803,57,13,22,0,5,2,4,70,0,COMPLETE
54,,,,2023-11-29 20:39:08.568693,2023-11-29 20:39:08.826225,0 days 00:00:00.257532,0,2.326603459023898,30,WMA,1.26184366429915,15,9,20,2,5,1,3,71,0,FAIL
55,,,,2023-11-29 20:39:08.828220,2023-11-29 20:39:09.091000,0 days 00:00:00.262780,2,1.5670485676663273,37,WMA,1.2125169397132554,20,14,16,2,5,2,5,71,0,FAIL
56,0.1360224358814248,0.06397617076274935,0.026873106753010346,2023-11-29 20:39:09.092994,2023-11-29 20:39:09.339935,0 days 00:00:00.246941,2,1.937093598856918,45,WMA,2.14840035303967,19,15,30,2,5,2,5,90,0,COMPLETE
57,0.33584757811391147,0.26042036822459025,0.06652696081225941,2023-11-29 20:39:09.340932,2023-11-29 20:39:09.592445,0 days 00:00:00.251513,1,1.8942331512434258,53,WMA,2.2185585892473205,34,5,22,2,5,1,3,70,0,COMPLETE
58,,,,2023-11-29 20:39:09.593477,2023-11-29 20:39:09.848535,0 days 00:00:00.255058,0,2.2705011655649603,53,SMA,1.0043546683402385,27,9,21,1,3,2,3,88,0,FAIL
59,0.431182446760221,0.20594713427781391,0.1395871523776094,2023-11-29 20:39:09.849491,2023-11-29 20:39:10.105913,0 days 00:00:00.256422,1,2.3850714507164934,16,SMA,1.8462851731818422,24,20,11,2,3,0,3,74,0,COMPLETE
60,-0.02280229244298345,-0.024264117293193357,-0.010041915413821982,2023-11-29 20:39:10.106910,2023-11-29 20:39:10.356821,0 days 00:00:00.249911,2,2.790856442604511,46,EMA,2.8268396435531047,19,13,25,1,5,1,5,78,0,COMPLETE
61,,,,2023-11-29 20:39:10.357728,2023-11-29 20:39:10.614082,0 days 00:00:00.256354,1,2.5326503696072153,58,EMA,2.0623869248754394,40,12,20,2,5,1,4,78,0,FAIL
62,0.15019451247630483,0.040331915308656145,0.058584468229334025,2023-11-29 20:39:10.616075,2023-11-29 20:39:10.906272,0 days 00:00:00.290197,0,1.0993600810868265,44,SMA,1.9202211313106983,15,15,19,2,5,0,4,81,0,COMPLETE
63,0.10048781690661183,0.019638421023471152,0.027017578217827208,2023-11-29 20:39:10.906749,2023-11-29 20:39:11.169168,0 days 00:00:00.262419,2,2.230034882518184,25,EMA,2.619388411559123,42,20,30,2,3,1,4,82,0,COMPLETE
64,-0.13250269286198033,-0.04941945121853181,-0.09048234596351862,2023-11-29 20:39:11.170165,2023-11-29 20:39:11.431022,0 days 00:00:00.260857,0,1.8673539447048126,51,EMA,2.990419935411836,60,12,18,1,4,2,4,82,0,COMPLETE
65,-0.20678313839393342,-0.09812021362456148,-0.01608836226438413,2023-11-29 20:39:11.432020,2023-11-29 20:39:11.693034,0 days 00:00:00.261014,0,1.7583441969121252,16,SMA,1.0393630424640323,34,17,21,2,3,1,5,83,0,COMPLETE
66,0.002292676212704473,-0.04099776972145343,-0.07551571791402921,2023-11-29 20:39:11.693034,2023-11-29 20:39:11.946476,0 days 00:00:00.253442,0,1.8511833960659367,35,WMA,2.3711400857695306,14,10,30,2,5,2,3,74,0,COMPLETE
67,-0.5394703227936528,-0.19763814409257885,-0.19044530423270828,2023-11-29 20:39:11.947473,2023-11-29 20:39:12.203983,0 days 00:00:00.256510,1,1.413261772539095,53,WMA,2.4823270903949277,20,15,19,0,4,0,4,80,0,COMPLETE
