number,sharpe_ratio,calmar_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_middlelines,params_bb_multiply,params_bb_timeperiod,params_channel_middlelines,params_channel_multiply,params_channel_timeperiod,system_attrs_nsga2:generation,state
79,0.10533664013605326,-0.02774586364446318,-0.06270041024154253,2023-11-29 20:12:04.491627,2023-11-29 20:12:05.024131,0 days 00:00:00.532504,1,1.4236903654433875,23,WMA,2.215826415402817,51,1,COMPLETE
80,0.35058913383974183,0.13221334997480733,0.3247876663563818,2023-11-29 20:12:05.025129,2023-11-29 20:12:05.644110,0 days 00:00:00.618981,2,2.8052734453518045,25,SMA,1.898667979799285,18,1,COMPLETE
81,-0.4008247612485007,-0.21375746680290952,-0.4765515788147944,2023-11-29 20:12:05.645107,2023-11-29 20:12:06.156097,0 days 00:00:00.510990,2,1.026622582410637,50,SMA,1.35833153063055,31,1,COMPLETE
82,-0.30277756154591834,-0.17850545270903828,-0.3482693810300296,2023-11-29 20:12:06.158092,2023-11-29 20:12:06.864044,0 days 00:00:00.705952,2,2.8291868983424235,15,EMA,2.260606865191731,10,1,COMPLETE
83,0.9050448888648444,0.738949267391913,1.9910286775342845,2023-11-29 20:12:06.865040,2023-11-29 20:12:07.518518,0 days 00:00:00.653478,1,1.4622645671961683,27,EMA,1.1265247796843285,24,1,COMPLETE
84,0.9592285604214129,0.8074614165199563,2.27565187413248,2023-11-29 20:12:07.519492,2023-11-29 20:12:08.085562,0 days 00:00:00.566070,1,1.8833387247604287,23,WMA,1.4685158940992906,51,1,COMPLETE
85,0.3970190161075815,0.1960806260383959,0.48002742946947197,2023-11-29 20:12:08.086557,2023-11-29 20:12:08.608580,0 days 00:00:00.522023,2,1.026622582410637,23,EMA,1.7198227018691623,31,1,COMPLETE
86,0.5098591616394031,0.4016492952602721,0.6520949793833517,2023-11-29 20:12:08.609577,2023-11-29 20:12:09.175001,0 days 00:00:00.565424,2,1.0772601105294752,38,SMA,1.1544810312625282,36,1,COMPLETE
87,0.9555494139329215,1.0392920997204498,3.4058657629453335,2023-11-29 20:12:09.175997,2023-11-29 20:12:09.667943,0 days 00:00:00.491946,0,2.051081235786714,22,EMA,2.507295573400313,50,1,COMPLETE
88,-0.02210689199995687,-0.07102180955006396,-0.15326404112921493,2023-11-29 20:12:09.668991,2023-11-29 20:12:10.206130,0 days 00:00:00.537139,2,1.8317427653580092,14,SMA,2.1565720497327168,10,1,COMPLETE
89,-0.6557020014304582,-0.2210421359236135,-0.5289291550836868,2023-11-29 20:12:10.207167,2023-11-29 20:12:10.671779,0 days 00:00:00.464612,1,1.026622582410637,24,EMA,2.1144406799283804,31,1,COMPLETE
90,,,,2023-11-29 20:12:10.672745,2023-11-29 20:12:10.771994,0 days 00:00:00.099249,2,1.9418962637744088,48,EMA,1.2915299323379545,21,1,FAIL
91,0.5197680942025108,0.3790805288769989,0.4326158845372754,2023-11-29 20:12:10.772991,2023-11-29 20:12:11.458936,0 days 00:00:00.685945,2,1.721957407597513,55,SMA,2.1174047664828626,14,1,COMPLETE
92,0.6172608559293178,0.50963261767621,0.43863685292801774,2023-11-29 20:12:11.459933,2023-11-29 20:12:12.105673,0 days 00:00:00.645740,2,2.901391715722947,25,EMA,2.5418402075425135,30,1,COMPLETE
93,0.05585233582561804,-0.050861615404470865,-0.09543076316403941,2023-11-29 20:12:12.106671,2023-11-29 20:12:12.628461,0 days 00:00:00.521790,2,1.4622645671961683,27,EMA,2.5418402075425135,29,1,COMPLETE
94,0.03095258076778139,-0.0516752048796967,-0.10345707531735712,2023-11-29 20:12:12.628461,2023-11-29 20:12:13.194200,0 days 00:00:00.565739,0,2.2281061417516765,20,EMA,2.8421159505064226,19,1,COMPLETE
95,-0.017702548019943715,-0.0247448997058107,-0.02175350755425612,2023-11-29 20:12:13.195204,2023-11-29 20:12:13.450312,0 days 00:00:00.255108,0,1.7725691550278173,58,EMA,1.8977122834255993,57,1,COMPLETE
96,,,,2023-11-29 20:12:13.451310,2023-11-29 20:12:13.550685,0 days 00:00:00.099375,1,1.7334809145695529,44,SMA,1.1265247796843285,24,1,FAIL
97,0.1450549404624019,-0.035184492814032894,-0.08821004700351352,2023-11-29 20:12:13.552655,2023-11-29 20:12:14.086855,0 days 00:00:00.534200,1,1.0982249699721076,16,WMA,1.1544810312625282,36,1,COMPLETE
