uid,from_uid,value,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_RV_period,params_RV_window
445,,3.3467271669182987,68,8,40,120,72
447,,4.4322972054347805,64,4,40,120,68
448,,4.4322972054347805,64,4,40,120,68
449,,3.77196172743268,68,4,44,120,64
450,,4.0135191330815445,64,8,40,120,68
452,,2.746952235160358,64,4,40,144,68
454,,4.11109709844076,64,4,40,120,72
455,,4.0135191330815445,64,8,40,120,68
456,,2.607560528653845,68,4,40,120,40
457,,3.8859451537178207,64,8,40,120,64
458,,4.11109709844076,64,4,40,120,72
459,,4.147616299781392,64,4,44,120,68
460,,3.3499515530652992,68,4,40,120,64
461,,4.147616299781392,64,4,44,120,68
464,,4.4322972054347805,64,4,40,120,68
465,,4.4322972054347805,64,4,40,120,68
466,,3.3467271669182987,68,8,40,120,72
467,,4.4322972054347805,64,4,40,120,68
468,,4.4322972054347805,64,4,40,120,68
469,,4.4322972054347805,64,4,40,120,68
471,,2.603523410111374,64,4,44,120,56
472,,3.8859451537178207,64,8,40,120,64
473,,4.147616299781392,64,4,44,120,68
474,,3.731209226530388,68,4,40,120,72
476,,3.803433279259535,68,8,40,120,64
477,,3.833784500393129,64,4,44,120,72
478,,4.4322972054347805,64,4,40,120,68
479,,4.0135191330815445,64,8,40,120,68
480,,4.147616299781392,64,4,44,120,68
481,,3.731209226530388,68,4,40,120,72
483,,3.172966932123775,28,4,40,144,68
484,,4.4322972054347805,64,4,40,120,68
486,,4.057901658315853,64,4,40,120,64
487,,3.711948302506385,64,8,40,120,72
488,,4.4322972054347805,64,4,40,120,68
489,,3.811936768578881,68,4,44,120,68
491,,4.4322972054347805,64,4,40,120,68
493,,3.6687391042095783,64,4,40,144,64
494,,4.4322972054347805,64,4,40,120,68
495,,3.833784500393129,64,4,44,120,72
496,,4.09204429593979,68,4,40,120,68
497,,4.0135191330815445,64,8,40,120,68
498,,3.8437247462517,64,4,44,120,64
500,,4.11109709844076,64,4,40,120,72
501,,2.71964828664774,64,8,44,120,68
502,,4.057901658315853,64,4,40,120,64
504,,2.98484809176252,68,8,40,120,44
505,,4.4322972054347805,64,4,40,120,68
506,,3.359218509822089,68,4,44,144,64
