number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,system_attrs_nsga2:generation,state
83,2.3385522195612345,3.846103231977615,11.963389769523415,35.714285714285715,2023-12-06 10:27:24.940302,2023-12-06 10:27:25.124485,0 days 00:00:00.184183,68,56,192,1,COMPLETE
84,3.095295079001759,2.615359430753006,26.163077397681413,41.66666666666667,2023-12-06 10:27:25.125142,2023-12-06 10:27:25.310949,0 days 00:00:00.185807,24,28,152,1,COMPLETE
85,2.8687858567808178,2.9012526760016812,13.755080912716561,36.11111111111111,2023-12-06 10:27:25.311621,2023-12-06 10:27:25.502684,0 days 00:00:00.191063,32,56,156,1,COMPLETE
86,1.6637669260738048,2.7729793869131014,7.080044669012987,29.166666666666668,2023-12-06 10:27:25.503391,2023-12-06 10:27:25.690980,0 days 00:00:00.187589,68,64,104,1,COMPLETE
87,1.8183837686366007,2.232202780863242,7.521526640406564,31.25,2023-12-06 10:27:25.691776,2023-12-06 10:27:25.881652,0 days 00:00:00.189876,52,52,88,1,COMPLETE
88,1.490461386922719,1.940078121131902,8.47464910898167,47.91666666666667,2023-12-06 10:27:25.882327,2023-12-06 10:27:26.072434,0 days 00:00:00.190107,68,40,44,1,COMPLETE
89,2.5986501022805184,3.2537241360705864,14.76194230612424,39.39393939393939,2023-12-06 10:27:26.073280,2023-12-06 10:27:26.264330,0 days 00:00:00.191050,8,40,108,1,COMPLETE
90,0.9009199636529293,1.219226161757724,3.000096465663145,34.24657534246575,2023-12-06 10:27:26.264992,2023-12-06 10:27:26.452775,0 days 00:00:00.187783,20,12,68,1,COMPLETE
91,2.7005587528897825,2.450482394938898,15.593993279328803,36.84210526315789,2023-12-06 10:27:26.453452,2023-12-06 10:27:26.641851,0 days 00:00:00.188399,36,36,140,1,COMPLETE
92,1.939330328176146,1.6442471372737555,8.189837833627271,33.33333333333333,2023-12-06 10:27:26.642555,2023-12-06 10:27:26.830035,0 days 00:00:00.187480,16,20,184,1,COMPLETE
93,3.4651984518427237,3.9517831193573576,23.85148283440461,44.11764705882353,2023-12-06 10:27:26.830755,2023-12-06 10:27:27.021072,0 days 00:00:00.190317,8,68,152,1,COMPLETE
94,2.5326859655204195,2.930922111105829,14.90924022107138,50.0,2023-12-06 10:27:27.021785,2023-12-06 10:27:27.208184,0 days 00:00:00.186399,48,36,168,1,COMPLETE
95,-0.2950238098533751,0.8508174420828446,-0.8309145151039931,27.500000000000004,2023-12-06 10:27:27.208822,2023-12-06 10:27:27.398043,0 days 00:00:00.189221,48,68,52,1,COMPLETE
96,1.6312006026219723,1.7662706281080696,4.078545986111885,37.5,2023-12-06 10:27:27.398755,2023-12-06 10:27:27.589536,0 days 00:00:00.190781,48,68,176,1,COMPLETE
97,2.355231918894184,2.908268077558483,13.685446659829337,42.10526315789473,2023-12-06 10:27:27.590269,2023-12-06 10:27:27.776785,0 days 00:00:00.186516,8,20,112,1,COMPLETE
98,0.8298598956963437,1.220269961944042,1.946958884393457,24.074074074074073,2023-12-06 10:27:27.777409,2023-12-06 10:27:27.964012,0 days 00:00:00.186603,20,68,100,1,COMPLETE
99,2.480197062977052,2.8812923665258374,11.739595799275486,40.0,2023-12-06 10:27:27.964730,2023-12-06 10:27:28.309451,0 days 00:00:00.344721,44,36,184,1,COMPLETE
