number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_mult,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,system_attrs_nsga2:generation,state
58,3.8422505454397564,2.293100977520045,18.05320989464397,46.808510638297875,2023-12-06 10:18:38.733468,2023-12-06 10:18:38.925396,0 days 00:00:00.191928,2.8834745634020846,48,16,120,1,COMPLETE
59,2.668276897880234,1.9447480502942611,10.555024503849292,44.44444444444444,2023-12-06 10:18:38.926145,2023-12-06 10:18:39.117195,0 days 00:00:00.191050,2.656706060415115,48,4,196,1,COMPLETE
60,0.7475675163736809,1.0977093934958435,1.2255018177158516,38.46153846153847,2023-12-06 10:18:39.117805,2023-12-06 10:18:39.306828,0 days 00:00:00.189023,2.9614209286070157,8,52,144,1,COMPLETE
61,3.917307939288952,2.659908167610499,21.210455687387817,47.82608695652174,2023-12-06 10:18:39.307571,2023-12-06 10:18:39.497743,0 days 00:00:00.190172,2.467182800438116,48,16,160,1,COMPLETE
62,3.3885467025041742,2.0749536573995577,15.939018349801435,53.84615384615385,2023-12-06 10:18:39.498498,2023-12-06 10:18:39.687396,0 days 00:00:00.188898,2.995500894740079,24,60,144,1,COMPLETE
63,-0.34633695665941794,0.9191968010721773,-0.8189370458483075,38.095238095238095,2023-12-06 10:18:39.688270,2023-12-06 10:18:39.874911,0 days 00:00:00.186641,1.6425994755799067,52,40,180,1,COMPLETE
64,2.654850158757084,1.8022950745577897,6.066598023278051,40.476190476190474,2023-12-06 10:18:39.875553,2023-12-06 10:18:40.067797,0 days 00:00:00.192244,2.6791650985070152,68,12,44,1,COMPLETE
65,1.3081142000450783,1.3725475948861818,3.6689499797989273,32.55813953488372,2023-12-06 10:18:40.068469,2023-12-06 10:18:40.257491,0 days 00:00:00.189022,2.5201634162690123,68,32,80,1,COMPLETE
66,3.2723579702567207,1.8611891416906923,18.97423055256598,39.39393939393939,2023-12-06 10:18:40.258146,2023-12-06 10:18:40.451630,0 days 00:00:00.193484,2.645059715201972,20,24,92,1,COMPLETE
67,-2.093559321314314,0.695170365457184,-2.3579193629820696,38.095238095238095,2023-12-06 10:18:40.452472,2023-12-06 10:18:40.648472,0 days 00:00:00.196000,1.6415668931478475,48,60,156,1,COMPLETE
68,-2.307733066962946,0.3505395020314294,-2.6604556358236437,29.166666666666668,2023-12-06 10:18:40.649164,2023-12-06 10:18:40.847258,0 days 00:00:00.198094,2.995500894740079,68,60,16,1,COMPLETE
69,-0.653298350961204,0.8732000728449256,-1.1897572205818692,33.9622641509434,2023-12-06 10:18:40.848238,2023-12-06 10:18:41.039936,0 days 00:00:00.191698,1.9235569863195872,32,52,148,1,COMPLETE
70,-0.9545746451957764,0.8130704323210347,-1.0502960182373262,32.30769230769231,2023-12-06 10:18:41.040654,2023-12-06 10:18:41.236377,0 days 00:00:00.195723,2.7110041410624603,44,4,20,1,COMPLETE
71,1.9296517134060218,1.4871461883988424,5.13030641111542,52.17391304347826,2023-12-06 10:18:41.237095,2023-12-06 10:18:41.434703,0 days 00:00:00.197608,2.5338040278789333,32,36,156,1,COMPLETE
72,2.8117700666569823,2.0195447186255504,15.060269208254464,39.473684210526315,2023-12-06 10:18:41.435429,2023-12-06 10:18:41.630113,0 days 00:00:00.194684,2.218586931814867,36,60,52,1,COMPLETE
73,0.9619084766962781,1.2531356683716102,1.7044754885394118,41.66666666666667,2023-12-06 10:18:41.630797,2023-12-06 10:18:41.822921,0 days 00:00:00.192124,2.4643552186425226,56,60,156,1,COMPLETE
74,-1.1082174649380558,0.7899133731720472,-1.444930564639147,29.629629629629626,2023-12-06 10:18:41.823579,2023-12-06 10:18:42.012137,0 days 00:00:00.188558,2.381229988257666,12,4,184,1,COMPLETE
75,2.494644787348857,1.7438518694338299,8.003238469788181,33.33333333333333,2023-12-06 10:18:42.012757,2023-12-06 10:18:42.201613,0 days 00:00:00.188856,2.7437642357965517,68,16,92,1,COMPLETE
76,-1.0337442457294288,0.7729056758257767,-1.8921927218564023,39.473684210526315,2023-12-06 10:18:42.202307,2023-12-06 10:18:42.394581,0 days 00:00:00.192274,1.5674945478814322,68,64,16,1,COMPLETE
77,1.5456828975307386,1.1947608335652777,5.604804512231394,34.50704225352113,2023-12-06 10:18:42.395626,2023-12-06 10:18:42.724340,0 days 00:00:00.328714,1.5338241135536586,20,24,92,1,COMPLETE
78,3.6641512296355363,2.1744904876155053,14.161202097857634,41.30434782608695,2023-12-06 10:18:42.725137,2023-12-06 10:18:42.913850,0 days 00:00:00.188713,2.659394486726276,52,8,124,1,COMPLETE
79,3.8001924793665456,2.030676410137602,23.82752062485863,40.0,2023-12-06 10:18:42.914487,2023-12-06 10:18:43.104721,0 days 00:00:00.190234,2.53127864058938,20,16,92,1,COMPLETE
80,3.774694900378178,2.4527193120737185,15.54239271968645,42.5,2023-12-06 10:18:43.105363,2023-12-06 10:18:43.294773,0 days 00:00:00.189410,2.2437881877707504,68,16,84,1,COMPLETE
81,2.7312074559296207,1.84472903371385,8.058033359427728,41.46341463414634,2023-12-06 10:18:43.295400,2023-12-06 10:18:43.486673,0 days 00:00:00.191273,2.5971245594065326,68,16,116,1,COMPLETE
82,2.146841150886115,1.2843991270782948,7.674792704566811,34.18803418803419,2023-12-06 10:18:43.487342,2023-12-06 10:18:43.677992,0 days 00:00:00.190650,1.8425399155980349,36,16,84,1,COMPLETE
83,2.886886457484116,1.6963929199842047,7.647908558718099,41.66666666666667,2023-12-06 10:18:43.678813,2023-12-06 10:18:43.878410,0 days 00:00:00.199597,2.9514082007134745,32,8,124,1,COMPLETE
84,3.846748893893057,2.296479504068225,16.300696869677896,40.909090909090914,2023-12-06 10:18:43.879222,2023-12-06 10:18:44.077142,0 days 00:00:00.197920,2.8834745634020846,56,8,124,1,COMPLETE
85,-0.7604269715371376,0.8245334392965882,-1.3653490878668169,36.84210526315789,2023-12-06 10:18:44.077842,2023-12-06 10:18:44.276874,0 days 00:00:00.199032,1.8482102560444251,56,60,44,1,COMPLETE
