number,sharpe_ratio,profit factor,calmar_ratio,win rate,datetime_start,datetime_complete,duration,params_BBand_mult,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_OI_window_rank,params_OI_window_rank_MA,params_RV_period,params_RV_window,system_attrs_nsga2:generation,state
81,0.02886718063986911,1.0067288997390254,-0.058454270646455225,36.36363636363637,2023-12-05 23:54:09.156422,2023-12-05 23:54:09.355716,0 days 00:00:00.199294,2.2244456141636966,68,8,64,60,96,168,28,1,COMPLETE
82,-1.662747874723222,0.7677209900981596,-1.094654444167017,30.519480519480517,2023-12-05 23:54:09.356396,2023-12-05 23:54:09.556957,0 days 00:00:00.200561,2.7465609693419526,28,32,36,44,108,168,20,1,COMPLETE
83,-0.9380989531843811,0.8260757542908177,-1.1743092836085904,28.31858407079646,2023-12-05 23:54:09.557702,2023-12-05 23:54:09.769399,0 days 00:00:00.211697,1.708745067521771,24,32,100,24,48,192,48,1,COMPLETE
84,0.7983299978250409,1.2364279261891926,1.14544061578159,41.86046511627907,2023-12-05 23:54:09.770120,2023-12-05 23:54:09.970821,0 days 00:00:00.200701,2.086254226828143,28,60,216,32,108,192,20,1,COMPLETE
85,0.02550259822510015,0.9799532514545822,-0.18526038555312022,33.87096774193548,2023-12-05 23:54:09.971631,2023-12-05 23:54:10.171809,0 days 00:00:00.200178,2.6940423244469396,16,32,112,48,168,216,48,1,COMPLETE
86,-2.233637298143755,0.4464826503832326,-1.449126227006554,30.434782608695656,2023-12-05 23:54:10.172633,2023-12-05 23:54:10.369327,0 days 00:00:00.196694,2.289799270905152,48,68,16,12,72,120,56,1,COMPLETE
87,-0.7887121541152792,0.8508215480095889,-0.8997139054503446,26.937269372693727,2023-12-05 23:54:10.369990,2023-12-05 23:54:10.754998,0 days 00:00:00.385008,1.622213877401739,8,52,152,12,120,48,72,1,COMPLETE
88,0.4492063869150644,1.0885997979652744,0.74026738311551,31.06796116504854,2023-12-05 23:54:10.755714,2023-12-05 23:54:10.958592,0 days 00:00:00.202878,2.0710513554796686,36,68,80,72,48,144,56,1,COMPLETE
89,-1.4274733157152673,0.6081512886298999,-1.0812340679192018,29.310344827586203,2023-12-05 23:54:10.959370,2023-12-05 23:54:11.166429,0 days 00:00:00.207059,2.7685139087971793,60,48,20,52,132,192,24,1,COMPLETE
90,-1.6354254189176123,0.5195705318824992,-1.148064304466124,35.84905660377358,2023-12-05 23:54:11.167236,2023-12-05 23:54:11.383425,0 days 00:00:00.216189,2.637347948512943,60,56,32,20,132,168,44,1,COMPLETE
