number,value,datetime_start,datetime_complete,duration,params_BBand_window,params_OI_window_MA_f,params_OI_window_MA_s,params_RV_period,params_RV_window,state
98,2.5871571843563763,2023-12-07 13:34:53.053931,2023-12-07 13:34:53.266400,0 days 00:00:00.212469,48,28,48,144,24,COMPLETE
99,0.46598037476082593,2023-12-07 13:34:53.267175,2023-12-07 13:34:53.478615,0 days 00:00:00.211440,44,36,48,120,56,COMPLETE
100,1.8752817321005273,2023-12-07 13:34:53.479389,2023-12-07 13:34:53.688520,0 days 00:00:00.209131,52,32,40,144,24,COMPLETE
101,2.8133070815516814,2023-12-07 13:34:53.689350,2023-12-07 13:34:53.899893,0 days 00:00:00.210543,44,24,52,120,20,COMPLETE
102,2.9562941838076515,2023-12-07 13:34:53.900662,2023-12-07 13:34:54.120556,0 days 00:00:00.219894,44,24,52,96,20,COMPLETE
103,2.5556093525890113,2023-12-07 13:34:54.121530,2023-12-07 13:34:54.343451,0 days 00:00:00.221921,48,24,44,96,24,COMPLETE
104,2.3014192725496136,2023-12-07 13:34:54.344550,2023-12-07 13:34:54.564765,0 days 00:00:00.220215,44,28,56,96,32,COMPLETE
105,1.269252587049701,2023-12-07 13:34:54.565546,2023-12-07 13:34:54.777164,0 days 00:00:00.211618,48,20,48,24,16,COMPLETE
106,2.993196805988531,2023-12-07 13:34:54.778022,2023-12-07 13:34:54.987505,0 days 00:00:00.209483,40,24,52,96,28,COMPLETE
107,0.0543138353547834,2023-12-07 13:34:54.988253,2023-12-07 13:34:55.200229,0 days 00:00:00.211976,8,28,56,72,28,COMPLETE
108,1.9883600396776668,2023-12-07 13:34:55.200984,2023-12-07 13:34:55.412750,0 days 00:00:00.211766,52,20,48,96,28,COMPLETE
109,1.839187463512366,2023-12-07 13:34:55.413555,2023-12-07 13:34:55.624150,0 days 00:00:00.210595,44,24,44,96,32,COMPLETE
110,1.5926725799537695,2023-12-07 13:34:55.624877,2023-12-07 13:34:55.835959,0 days 00:00:00.211082,48,16,56,48,24,COMPLETE
111,2.9028066474113947,2023-12-07 13:34:55.836723,2023-12-07 13:34:56.050767,0 days 00:00:00.214044,40,24,52,120,20,COMPLETE
112,1.9690204507957618,2023-12-07 13:34:56.051577,2023-12-07 13:34:56.260738,0 days 00:00:00.209161,40,28,52,120,20,COMPLETE
113,3.200144677379334,2023-12-07 13:34:56.261497,2023-12-07 13:34:56.472994,0 days 00:00:00.211497,44,24,52,96,24,COMPLETE
114,1.7241322397188252,2023-12-07 13:34:56.473808,2023-12-07 13:34:56.683387,0 days 00:00:00.209579,44,20,48,72,24,COMPLETE
115,2.2771147833265313,2023-12-07 13:34:56.684100,2023-12-07 13:34:56.892871,0 days 00:00:00.208771,44,28,56,96,28,COMPLETE
116,2.0607050077629236,2023-12-07 13:34:56.893945,2023-12-07 13:34:57.105134,0 days 00:00:00.211189,48,52,52,72,28,COMPLETE
117,3.152114665779256,2023-12-07 13:34:57.105940,2023-12-07 13:34:57.314388,0 days 00:00:00.208448,48,24,56,96,24,COMPLETE
118,1.9852620806954442,2023-12-07 13:34:57.315146,2023-12-07 13:34:57.523497,0 days 00:00:00.208351,52,32,60,96,24,COMPLETE
119,2.796802882548713,2023-12-07 13:34:57.524379,2023-12-07 13:34:57.734000,0 days 00:00:00.209621,48,24,56,96,32,COMPLETE
120,2.4881480221304924,2023-12-07 13:34:57.734775,2023-12-07 13:34:57.943673,0 days 00:00:00.208898,44,20,48,96,24,COMPLETE
121,2.807346502190085,2023-12-07 13:34:57.944396,2023-12-07 13:34:58.153060,0 days 00:00:00.208664,44,24,52,72,20,COMPLETE
122,2.8927745423036484,2023-12-07 13:34:58.153925,2023-12-07 13:34:58.362779,0 days 00:00:00.208854,40,24,56,96,24,COMPLETE
123,1.9529436399563647,2023-12-07 13:34:58.363550,2023-12-07 13:34:58.571915,0 days 00:00:00.208365,48,20,52,96,16,COMPLETE
124,1.6720980103199432,2023-12-07 13:34:58.572724,2023-12-07 13:34:58.780970,0 days 00:00:00.208246,36,28,56,120,28,COMPLETE
125,2.536739947978506,2023-12-07 13:34:58.781739,2023-12-07 13:34:58.992408,0 days 00:00:00.210669,44,24,48,144,36,COMPLETE
126,1.3724966034996986,2023-12-07 13:34:58.993159,2023-12-07 13:34:59.204733,0 days 00:00:00.211574,40,28,52,240,20,COMPLETE
127,3.1904181902902646,2023-12-07 13:34:59.205529,2023-12-07 13:34:59.413298,0 days 00:00:00.207769,52,20,60,96,24,COMPLETE
128,-1.4647273213118295,2023-12-07 13:34:59.414073,2023-12-07 13:34:59.624486,0 days 00:00:00.210413,52,16,4,96,28,COMPLETE
129,2.151986752480018,2023-12-07 13:34:59.625278,2023-12-07 13:34:59.834773,0 days 00:00:00.209495,56,20,60,72,24,COMPLETE
130,2.6639464902685304,2023-12-07 13:34:59.835620,2023-12-07 13:35:00.046981,0 days 00:00:00.211361,52,12,60,96,24,COMPLETE
131,2.8603827590388713,2023-12-07 13:35:00.047756,2023-12-07 13:35:00.258056,0 days 00:00:00.210300,48,24,56,96,20,COMPLETE
132,3.6396294701005423,2023-12-07 13:35:00.258836,2023-12-07 13:35:00.469373,0 days 00:00:00.210537,44,20,56,120,16,COMPLETE
